name,full_path,dir,date,time,size,comment
"verify_starship.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\verify_starship.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\","12/03/2025","05:07",267,"Batch program discovered on D:"
"build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\build.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\","12/03/2025","08:00",1277,"Batch program discovered on D:"
"build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\build_cloud_ppj.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\Current Projects\Current projects\VBGOD_LD\StarshipDetector\pellesC_engine\","12/03/2025","09:11",870,"Batch program discovered on D:"
"alive.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\AI\New folder\AI\old\SNIPS\dsl\alive.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\AI\New folder\AI\old\SNIPS\dsl\","11/28/2025","05:40",146,"Batch program discovered on D:"
"build_all.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\AI\New folder\AI\old\SNIPS\FFF_v1.0.3-AI\build_all.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\AI\New folder\AI\old\SNIPS\FFF_v1.0.3-AI\","11/28/2025","07:18",694,"Batch program discovered on D:"
"alive.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\D\AI\New folder\AI\old\SNIPS\dsl\alive.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\D\AI\New folder\AI\old\SNIPS\dsl\","11/28/2025","05:40",146,"Batch program discovered on D:"
"build_all.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\D\AI\New folder\AI\old\SNIPS\FFF_v1.0.3-AI\build_all.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\D\AI\New folder\AI\old\SNIPS\FFF_v1.0.3-AI\","11/28/2025","07:18",694,"Batch program discovered on D:"
"alive.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\D\AI\New folder\AI SUCCESS 1\old\SNIPS\dsl\alive.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\D\AI\New folder\AI SUCCESS 1\old\SNIPS\dsl\","11/28/2025","05:40",146,"Batch program discovered on D:"
"build_all.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\D\AI\New folder\AI SUCCESS 1\old\SNIPS\FFF_v1.0.3-AI\build_all.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\D\AI\New folder\AI SUCCESS 1\old\SNIPS\FFF_v1.0.3-AI\","11/28/2025","07:18",694,"Batch program discovered on D:"
"alive.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\New folder\AI\old\SNIPS\dsl\alive.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\New folder\AI\old\SNIPS\dsl\","11/28/2025","05:40",146,"Batch program discovered on D:"
"build_all.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\New folder\AI\old\SNIPS\FFF_v1.0.3-AI\build_all.bat","D:\mscopilot\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\RED_DISK\Local Source\Expired\old\New folder\old\FFF\New folder\AI\old\SNIPS\FFF_v1.0.3-AI\","11/28/2025","07:18",694,"Batch program discovered on D:"
